STORE_CODE,SKU,EPC,COST_PRICE,ZONE,ERP_SOURCE_DOC,BATCH_DATE,NOTES
LK001,PANT-DEN-BLU-28,3034257BF400000001000001,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-28,3034257BF400000001000002,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-28,3034257BF400000001000003,850.00,BACK_ROOM,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-30,3034257BF400000002000001,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-30,3034257BF400000002000002,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-30,3034257BF400000002000003,850.00,BACK_ROOM,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-30,3034257BF400000002000004,850.00,BACK_ROOM,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-32,3034257BF400000003000001,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-32,3034257BF400000003000002,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-32,3034257BF400000003000003,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-32,3034257BF400000003000004,850.00,BACK_ROOM,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-34,3034257BF400000004000001,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLU-34,3034257BF400000004000002,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLK-30,3034257BF400000005000001,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLK-30,3034257BF400000005000002,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLK-30,3034257BF400000005000003,850.00,BACK_ROOM,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLK-32,3034257BF400000006000001,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLK-32,3034257BF400000006000002,850.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,PANT-DEN-BLK-32,3034257BF400000006000003,850.00,FITTING_ROOM,PO-2026-001,2026-06-01,Misplaced
LK001,PANT-DEN-BLK-34,3034257BF400000007000001,850.00,BACK_ROOM,PO-2026-001,2026-06-01,
LK001,TROP-CHI-KHA-30,3034257BF400000008000001,750.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,TROP-CHI-KHA-30,3034257BF400000008000002,750.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,TROP-CHI-KHA-32,3034257BF400000009000001,750.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,TROP-CHI-NAV-30,3034257BF40000000A000001,750.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,TROP-CHI-NAV-30,3034257BF40000000A000002,750.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,TROP-CHI-NAV-32,3034257BF40000000B000001,750.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-WHT-S,3034257BF40000000C000001,650.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-WHT-S,3034257BF40000000C000002,650.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-WHT-M,3034257BF40000000D000001,650.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-WHT-M,3034257BF40000000D000002,650.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-WHT-M,3034257BF40000000D000003,650.00,BACK_ROOM,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-WHT-L,3034257BF40000000E000001,650.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-WHT-L,3034257BF40000000E000002,650.00,BACK_ROOM,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-WHT-XL,3034257BF40000000F000001,650.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-BLU-M,3034257BF400000010000001,650.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-BLU-M,3034257BF400000010000002,650.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,SHRT-FRM-BLU-L,3034257BF400000011000001,650.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,TSHRT-CRW-WHT-S,3034257BF400000012000001,450.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,TSHRT-CRW-WHT-S,3034257BF400000012000002,450.00,SALES_FLOOR,PO-2026-001,2026-06-01,
LK001,TSHRT-CRW-WHT-S,3034257BF400000012000003,450.00,BACK_ROOM,PO-2026-001,2026-06-01,
LK001,TSHRT-CRW-WHT-M,3034257BF400000013000001,450.00,SALES_FLOOR,PO-2026-001,2026-06-01,
